"","time","S","I","R","Date","A","Rm","total_infected"
"50",50,694.204106886964,1084.82988535136,5192.56600776168,2020-05-13,NA,NA,6277.39589311304
"51",51,678.820855200743,1044.72436008479,5248.05478471447,2020-05-14,NA,NA,6292.77914479926
"52",52,664.330878032392,1005.78537487112,5301.48374709649,2020-05-15,NA,NA,6307.26912196761
"53",53,650.675280151287,968.011057166917,5352.9136626818,2020-05-16,NA,NA,6320.92471984871
"54",54,637.799481102112,931.395426714838,5402.40509218305,2020-05-17,NA,NA,6333.80051889789
"55",55,625.652883148628,895.928927591935,5450.01818925944,2020-05-18,NA,NA,6345.94711685137
"56",56,614.188563475694,861.59890960709,5495.81252691722,2020-05-19,NA,NA,6357.41143652431
"57",57,603.362989404278,828.390062833554,5539.84694776217,2020-05-20,NA,NA,6368.23701059572
"58",58,593.135755304036,796.284808938421,5582.17943575754,2020-05-21,NA,NA,6378.46424469596
"59",59,583.469339859475,765.263652812666,5622.86700732786,2020-05-22,NA,NA,6388.13066014053
"60",60,574.328882348332,735.305497824723,5661.96561982695,2020-05-23,NA,NA,6397.27111765167
"61",61,565.681976616572,706.387927826668,5699.53009555676,2020-05-24,NA,NA,6405.91802338343
"62",62,557.498481476698,678.487458841909,5735.61405968139,2020-05-25,NA,NA,6414.1015185233
"63",63,549.750346309804,651.579763162106,5770.26989052809,2020-05-26,NA,NA,6421.8496536902
"64",64,542.411450713032,625.639868382887,5803.54868090408,2020-05-27,NA,NA,6429.18854928697
"65",65,535.457457099667,600.642333715533,5835.5002091848,2020-05-28,NA,NA,6436.14254290033
"66",66,528.865675226675,576.561405727263,5866.17291904606,2020-05-29,NA,NA,6442.73432477333
"67",67,522.614937692349,553.371155487335,5895.61390682032,2020-05-30,NA,NA,6448.98506230765
"68",68,516.685485513501,531.045598930712,5923.86891555579,2020-05-31,NA,NA,6454.9145144865
"69",69,511.058862956406,509.558802095905,5950.98233494769,2020-06-01,NA,NA,6460.54113704359
"70",70,505.71782085788,488.884972748965,5976.99720639315,2020-06-02,NA,NA,6465.88217914212
"71",71,500.6462277319,468.998539771248,6001.95523249685,2020-06-03,NA,NA,6470.9537722681
"72",72,495.828988012951,449.87422156432,6025.89679042273,2020-06-04,NA,NA,6475.77101198705
"73",73,491.251966839572,431.487084610807,6048.86094854962,2020-06-05,NA,NA,6480.34803316043
"74",74,486.901920830361,413.812593224571,6070.88548594507,2020-06-06,NA,NA,6484.69807916964
"75",75,482.766434350119,396.826651426934,6092.00691422295,2020-06-07,NA,NA,6488.83356564988
"76",76,478.833860805851,380.505637797156,6112.26050139699,2020-06-08,NA,NA,6492.76613919415
"77",77,475.093268551161,364.826434064414,6131.68029738443,2020-06-09,NA,NA,6496.50673144884
"78",78,471.534391013437,349.766448134741,6150.29916085182,2020-06-10,NA,NA,6500.06560898656
"79",79,468.147580691102,335.303632179064,6168.14878712984,2020-06-11,NA,NA,6503.4524193089
"80",80,464.923766698477,321.416496347229,6185.2597369543,2020-06-12,NA,NA,6506.67623330152
"81",81,461.854415563509,308.084118617227,6201.66146581926,2020-06-13,NA,NA,6509.74558443649
"82",82,458.931495009012,295.286151238241,6217.38235375275,2020-06-14,NA,NA,6512.66850499099
"83",83,456.147440471294,283.002824180208,6232.4497353485,2020-06-15,NA,NA,6515.45255952871
"84",84,453.49512413127,271.214945960985,6246.88992990775,2020-06-16,NA,NA,6518.10487586873
"85",85,450.967826252543,259.903902184445,6260.72827156301,2020-06-17,NA,NA,6520.63217374746
"86",86,448.559208638672,249.051652088678,6273.98913927265,2020-06-18,NA,NA,6523.04079136133
"87",87,446.263290037942,238.640723372538,6286.69598658952,2020-06-19,NA,NA,6525.33670996206
"88",88,444.07442333875,228.654205540808,6298.87137112044,2020-06-20,NA,NA,6527.52557666125
"89",89,441.987274412115,219.075741982954,6310.53698360493,2020-06-21,NA,NA,6529.61272558789
"90",90,439.996802470094,209.889520977592,6321.71367655232,2020-06-22,NA,NA,6531.60319752991
"91",91,438.098241820055,201.080265794157,6332.42149238579,2020-06-23,NA,NA,6533.50175817995
"92",92,436.287084904943,192.633224044625,6342.67969105044,2020-06-24,NA,NA,6535.31291509506
"93",93,434.559066528967,184.534156421331,6352.50677704971,2020-06-25,NA,NA,6537.04093347104
"94",94,432.910149176602,176.769324941786,6361.92052588162,2020-06-26,NA,NA,6538.6898508234
"95",95,431.336509340517,169.325480807693,6370.93800985179,2020-06-27,NA,NA,6540.26349065949
"96",96,429.834524781096,162.189851973116,6379.57562324579,2020-06-28,NA,NA,6541.76547521891
"97",97,428.400762646629,155.350130505627,6387.84910684775,2020-06-29,NA,NA,6543.19923735338
"98",98,427.031968389132,148.794459814301,6395.77357179657,2020-06-30,NA,NA,6544.56803161087
"99",99,425.725055416087,142.511421809491,6403.36352277443,2020-07-01,NA,NA,6545.87494458392
"100",100,424.477095423283,136.490024051224,6410.6328805255,2020-07-02,NA,NA,6547.12290457672
"101",101,423.285309358417,130.719686935843,6417.59500370574,2020-07-03,NA,NA,6548.31469064159
"102",102,422.147058969158,125.190230964041,6424.26271006681,2020-07-04,NA,NA,6549.45294103085
"103",103,421.059838893131,119.891864127596,6430.64829697928,2020-07-05,NA,NA,6550.54016110687
"104",104,420.021269250664,114.81516944692,6436.76356130242,2020-07-06,NA,NA,6551.57873074934
"105",105,419.029088704258,109.951092686857,6442.61981860889,2020-07-07,NA,NA,6552.57091129575
"106",106,418.081147951596,105.290930274016,6448.22792177439,2020-07-08,NA,NA,6553.51885204841
"107",107,417.175403621509,100.826317435188,6453.59827894331,2020-07-09,NA,NA,6554.4245963785
"108",108,416.309912544693,96.5492165730597,6458.74087088225,2020-07-10,NA,NA,6555.29008745531
"109",109,415.482826372995,92.4519058927234,6463.66526773429,2020-07-11,NA,NA,6556.11717362701
"110",110,414.692386523865,88.5269682890997,6468.38064518704,2020-07-12,NA,NA,6556.90761347614
"111",111,413.93691942724,84.767280504079,6472.89580006869,2020-07-13,NA,NA,6557.66308057277
"112",112,413.214832054048,81.1660025598031,6477.21916538616,2020-07-14,NA,NA,6558.38516794596
"113",113,412.524607708268,77.7165674719655,6481.35882481977,2020-07-15,NA,NA,6559.07539229174
"114",114,411.864802064572,74.4126712462803,6485.32252668915,2020-07-16,NA,NA,6559.73519793544
"115",115,411.234039435335,71.2482631595193,6489.11769740515,2020-07-17,NA,NA,6560.36596056467
"116",116,410.631009252013,68.2175363252766,6492.75145442272,2020-07-18,NA,NA,6560.96899074799
"117",117,410.054462747002,65.3149185435575,6496.23061870945,2020-07-19,NA,NA,6561.54553725301
"118",118,409.503209823043,62.5350634323485,6499.56172674462,2020-07-20,NA,NA,6562.09679017696
"119",119,408.976116098226,59.8728418385105,6502.75104206327,2020-07-21,NA,NA,6562.62388390178
"120",120,408.472100115465,57.3233335246358,6505.80456635991,2020-07-22,NA,NA,6563.12789988454
"121",121,407.990130706114,54.8818191279106,6508.72805016598,2020-07-23,NA,NA,6563.60986929389
"122",122,407.52922449816,52.5437723865142,6511.52700311533,2020-07-24,NA,NA,6564.07077550185
"123",123,407.088443560034,50.3048526286592,6514.20670381132,2020-07-25,NA,NA,6564.51155643997
"124",124,406.666893171761,48.160897519022,6516.77220930923,2020-07-26,NA,NA,6564.93310682825
"125",125,406.263719715724,46.1079160570195,6519.22836422726,2020-07-27,NA,NA,6565.33628028428
"126",126,405.878108679823,44.1420818211567,6521.57980949903,2020-07-28,NA,NA,6565.72189132019
"127",127,405.509282766333,42.259726453486,6523.83099078019,2020-07-29,NA,NA,6566.09071723368
